t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.24958500520953122,988,12,0
0.3143924670464918,987,13,0
0.4187381648895242,987,12,1
0.45704075115651627,987,11,2
0.528894877724139,986,12,2
0.6195024951443067,985,13,2
0.6577036077891308,984,14,2
0.807485436446791,983,15,2
0.9136460307932821,983,14,3
0.9762345270599148,982,15,3
0.9968571073125269,981,16,3
1.0781558006594802,981,15,4
1.091608486953405,981,14,5
1.1487009117740068,981,13,6
1.2770889565236012,980,14,6
1.3082779501442605,980,13,7
1.3746513101575535,979,14,7
1.4492473447385696,978,15,7
1.5180244863403018,978,14,8
1.7162183305560266,978,13,9
1.7179532785218827,977,14,9
1.7350467048584113,976,15,9
1.9681345448364567,975,16,9
2.016509609783214,974,17,9
2.0377398215928877,973,18,9
2.0502408951352447,973,17,10
2.0786758661881533,972,18,10
2.1169729706622986,971,19,10
2.117377232252402,970,20,10
2.165322253953704,969,21,10
2.187151772751459,968,22,10
2.247337819249856,967,23,10
2.2606965813794067,967,22,11
2.2693768261530973,966,23,11
2.5255843073284034,966,22,12
2.556497204978888,965,23,12
2.5665500293605206,965,22,13
2.6029722039292813,964,23,13
2.6323455911805493,963,24,13
2.686160289236048,963,23,14
2.7620006601207945,963,22,15
2.8433336101931554,962,23,15
2.946417271582479,962,22,16
2.97737842810254,961,23,16
3.076983434688252,961,22,17
3.1495273547823355,960,23,17
3.156086644699199,959,24,17
3.1565481199372094,959,23,18
3.1784672248734314,958,24,18
3.2163022410500104,957,25,18
3.259239571741394,957,24,19
3.2601289039889823,957,23,20
3.409577938543462,956,24,20
3.5082477318400995,955,25,20
3.5908841203766166,954,26,20
3.634262287591342,953,27,20
3.6422048982015522,952,28,20
3.67804491388967,952,27,21
3.708714511761815,951,28,21
3.709113220353152,951,27,22
3.738865581640158,950,28,22
3.740851214715261,950,27,23
3.756091348224748,949,28,23
3.8354693898390235,948,29,23
3.9042959227804506,948,28,24
3.910427961178268,947,29,24
3.9227309987129,946,30,24
4.110381871233421,945,31,24
4.144285161141826,945,30,25
4.175548327678941,945,29,26
4.2934240061899915,945,28,27
4.44455221895344,944,29,27
4.467140057232649,943,30,27
4.4704009960922555,943,29,28
4.493544444004835,943,28,29
4.510318716817315,943,27,30
4.5689915021634535,942,28,30
4.728359227948526,942,27,31
4.820988534644843,941,28,31
4.821108121918664,941,27,32
4.880198843748505,941,26,33
4.912521819531967,940,27,33
4.93971972250675,940,26,34
5.239288456798061,940,25,35
5.251420118059941,939,26,35
5.25765700875948,938,27,35
5.289868990088652,937,28,35
5.292003481797658,936,29,35
5.299806314707036,935,30,35
5.406290519388507,934,31,35
5.456677130220083,933,32,35
5.544756900965743,932,33,35
5.668278660590771,932,32,36
5.671274918470857,931,33,36
5.740000984765931,930,34,36
5.798369806101785,930,33,37
5.7985876345073235,929,34,37
5.832050334510668,928,35,37
5.863011341067717,927,36,37
5.941318621679408,927,35,38
6.10104377459153,927,34,39
6.129545843944145,926,35,39
6.182710088686921,925,36,39
6.198167440801862,924,37,39
6.324565193426397,923,38,39
6.3736332682728065,923,37,40
6.427686488365175,923,36,41
6.431537036435241,922,37,41
6.436672771499456,921,38,41
6.438144316924485,920,39,41
6.440815887378861,920,38,42
6.4556489928679595,920,37,43
6.458274009354414,919,38,43
6.480229257678119,919,37,44
6.482447406748943,918,38,44
6.522797742661672,918,37,45
6.574403404002904,918,36,46
6.594559566174619,917,37,46
6.6521070598128205,917,36,47
6.747508940352475,916,37,47
6.767767070810496,915,38,47
6.892687756341204,914,39,47
6.925957736914153,914,38,48
6.964455728465202,913,39,48
7.183395278149383,913,38,49
7.219497478729398,912,39,49
7.337689759802666,912,38,50
7.404696433105331,911,39,50
7.4322677011603995,910,40,50
7.440007183757706,910,39,51
7.601830410829323,910,38,52
7.6792906764649755,910,37,53
7.732538459323788,909,38,53
7.741322238400722,908,39,53
7.790598015799301,907,40,53
7.861391126291054,907,39,54
7.94286785293831,906,40,54
7.999143967445647,905,41,54
8.03782516729341,904,42,54
8.057609890083299,903,43,54
8.060192251001341,902,44,54
8.152314036159694,901,45,54
8.171247962558539,900,46,54
8.279635454737912,899,47,54
8.3741817975915,899,46,55
8.44219961090874,899,45,56
8.444956015658095,899,44,57
8.473840410796551,898,45,57
8.48452893505868,897,46,57
8.535999577992625,897,45,58
8.59560087609578,897,44,59
8.646130272837919,896,45,59
8.657108949874397,896,44,60
8.676386273572179,895,45,60
8.710144861651374,894,46,60
8.735256717570431,893,47,60
8.74749717440669,893,46,61
8.80672457499272,892,47,61
8.81175672624614,891,48,61
8.852782457080886,891,47,62
8.865792425124747,890,48,62
8.869200610889797,889,49,62
8.931356187053355,888,50,62
8.936725660862622,887,51,62
8.943943124425807,886,52,62
8.950288197678836,885,53,62
8.965589045074282,884,54,62
8.96655748214243,884,53,63
8.98207601073385,883,54,63
8.986896651053458,882,55,63
9.00069135228062,882,54,64
9.022060905514499,882,53,65
9.066581200206212,881,54,65
9.070495650932639,881,53,66
9.074896740783661,881,52,67
9.0890691530656,880,53,67
9.119142255762076,879,54,67
9.121557694329505,878,55,67
9.133199727571897,878,54,68
9.218247978597672,877,55,68
9.221794694058413,876,56,68
9.274540410512554,875,57,68
9.293636554656043,874,58,68
9.370895751735143,873,59,68
9.383923342710322,872,60,68
9.433749452982044,872,59,69
9.450316395576642,872,58,70
9.475552747595161,872,57,71
9.527062174762692,871,58,71
9.53171902961281,871,57,72
9.580785458020776,870,58,72
9.627448776643497,869,59,72
9.658996771081625,868,60,72
9.665207838246975,868,59,73
9.668181062994561,867,60,73
9.685662985452396,867,59,74
9.692950573066396,866,60,74
9.752766794690558,865,61,74
9.784650115317508,864,62,74
9.787913531581445,863,63,74
9.828597027978875,862,64,74
9.845006310656458,862,63,75
9.855022719623546,862,62,76
9.857191180435047,862,61,77
9.863010834921008,861,62,77
9.877987400997936,860,63,77
9.910671136886393,859,64,77
9.942569834496831,858,65,77
9.958900643637591,858,64,78
9.96193988421451,857,65,78
9.984843578021733,856,66,78
10.004901730880073,855,67,78
10.011040248861596,854,68,78
10.02418178092384,854,67,79
10.052958733774377,853,68,79
10.05684635835394,852,69,79
10.079593305842305,851,70,79
10.104252170000153,850,71,79
10.15935700032938,850,70,80
10.207862909386584,850,69,81
10.223173134083392,849,70,81
10.236756124724646,848,71,81
10.238018597812147,847,72,81
10.26408176451286,846,73,81
10.265284233636592,846,72,82
10.29488300789285,845,73,82
10.356877419990472,844,74,82
10.379888254949039,843,75,82
10.390148030485303,842,76,82
10.40546295191404,841,77,82
10.43088780395864,840,78,82
10.43784761044108,840,77,83
10.443659545488682,839,78,83
10.473255092077228,839,77,84
10.503778676913035,839,76,85
10.521996792944773,838,77,85
10.5456014927391,837,78,85
10.546864500151315,837,77,86
10.551935929817766,837,76,87
10.6056841414653,836,77,87
10.640483303199238,836,76,88
10.693431188138529,835,77,88
10.700153706229447,834,78,88
10.731605160104,833,79,88
10.76667410072465,832,80,88
10.783388784424462,832,79,89
10.801629431875512,831,80,89
10.821559035113063,831,79,90
10.883637308183804,831,78,91
10.886808032236827,830,79,91
10.922109910711216,829,80,91
10.932280280517453,828,81,91
10.934458152539056,827,82,91
10.948838384429274,827,81,92
10.95540986943886,826,82,92
10.957055785126961,826,81,93
11.011172191096932,825,82,93
11.059489142976114,825,81,94
11.139613231232254,824,82,94
11.150709064474738,824,81,95
11.189459578082383,823,82,95
11.212356479339164,822,83,95
11.21396383982073,821,84,95
11.242857821196083,820,85,95
11.248712042069869,820,84,96
11.252559278868453,819,85,96
11.267152419821166,818,86,96
11.28680870581729,817,87,96
11.295650575124021,816,88,96
11.305212904422602,816,87,97
11.308346679722327,815,88,97
11.363928478056884,814,89,97
11.43754269932171,813,90,97
11.472497293529306,812,91,97
11.477638712421175,811,92,97
11.552340557378388,810,93,97
